raga,tonic,tonic_name,salience,fit_score,primary_score,match_mass,extra_mass,observed_note_score,loglike_norm,raga_size,match_diff,complexity_pen,rank
Surdasi Malhar,10,A#,512,-276.2170223990606,0.33577155718103785,0.5870023913349276,0.4129976086650724,0.2129842290608588,0.0,7,1,0.16666666666666666,139
"Gorakh Kalyan, Narayani",2,D,537,-276.8232741936921,0.5418483612322402,0.5986777324518215,0.40132226754817846,0.2534238418476357,0.0,6,2,0.08333333333333333,140
Tilang,2,D,537,-282.4704344329992,0.5418483612322402,0.5951610634407088,0.40483893655929115,0.2519352149570833,0.0,6,2,0.08333333333333333,141
Sundarkauns,2,D,537,-284.85079322390186,0.5418483612322402,0.6038824025882681,0.3961175974117319,0.30675241157478383,0.0,5,3,0.0,142
Basant Mukhari,3,D#,3200,-285.50684386555037,0.33577155718103785,0.5177943451962302,0.48220565480376976,0.18787322002708404,0.0,7,1,0.16666666666666666,143
"Bhupali, Deshkar, Pahadi",3,D#,3200,-286.6037597528065,0.33577155718103785,0.5414263609509071,0.4585736390490929,0.27502679528333174,0.0,5,3,0.0,144
"Kedar, Shuddha Sarang",10,A#,512,-292.10396817979387,0.33577155718103785,0.5770150513433676,0.4229849486566324,0.2093604858872856,0.0,7,1,0.16666666666666666,145
Patdeep,10,A#,512,-294.1178063773518,0.33577155718103785,0.575749050499367,0.424250949500633,0.20890113816105801,0.0,7,1,0.16666666666666666,146
"Manj Khamaj, Saraswati Kedar",2,D,537,-296.5592473720633,0.5418483612322402,0.6234350822900551,0.37656491770994494,0.17593585010474974,0.0,9,1,0.3333333333333333,147
"Madhumand Sarang, Megh",2,D,537,-300.6423859952856,0.5418483612322402,0.5941763961175972,0.4058236038824028,0.3018220793132743,0.0,5,3,0.0,148
Abhogi,2,D,537,-300.8712496586393,0.5418483612322402,0.5940357293571525,0.40596427064284746,0.3017506252225278,0.0,5,3,0.0,149
"Bageshri, Bhimpalasi, Desi, Dhanashree, Kafi, Shahana",10,A#,512,-312.9136295545573,0.33577155718103785,0.5639330426220284,0.43606695737797163,0.20461389271626723,0.0,7,1,0.16666666666666666,150
