track_name,vocals_median_pitch_hz,accompaniment_median_pitch_hz
Jaunpuri_8,281.28,277.345
Jaunpuri_9,262.74,83.24
Jayat_1,232.135,182.91
Jayat_2,211.35,83.34
Jayat_3,328.57,261.28
Jayat_4,229.23,93.2
Jayat_5,354.64,335.06
Jayat_6,283.74,106.58
Jayat_7,141.87,78.21
Jhinjoti_1,196.24,117.16
Jhinjoti_10,213.87,108.78
Jhinjoti_2,156.28,84.45
Jhinjoti_3,287.295,116.32
Jhinjoti_4,242.03,89.94
Jhinjoti_5,276.68,110.67
Jhinjoti_6,190.06,94.31
Jhinjoti_7,221.16,84.13
Jhinjoti_8,315.96,90.91
Jhinjoti_9,215.88,111.445
Jog_10,260.9,207.84
Jog_2,131.19,78.48
Jog_3,199.99,72.31
Jog_4,131.3,64.85
Jog_5,147.38,72.72
Jog_6,194.8,88.57
Jog_7,185.28,147.37
Jog_8,147.37,72.72
Jog_9,181.7,90.88
Jogkauns_1,155.9,153.98
Jogkauns_10,172.58,144.58
Jogkauns_2,200.44,104.17
Jogkauns_3,185.32,156.05
Jogkauns_4,184.56,147.38
Jogkauns_5,207.8,97.6
Jogkauns_6,271.49,104.21
Jogkauns_7,328.53,98.93
Jogkauns_8,155.62,117.15
Jogkauns_9,261.85,104.52
Kafi_1,232.1,120.82499999999999
Kafi_10,235.29,112.275
Kafi_2,255.445,185.39
Kafi_3,347.97,328.02
Kafi_4,335.12,84.67
Kafi_5,293.03,293.29
Kafi_6,310.24,88.1
Kafi_7,235.835,93.09
Kafi_8,156.5,104.46
Kafi_9,243.14,89.125
Kamod_1,218.4,124.255
Kamod_10,198.1,87.85
Kamod_2,212.04,147.38
Kamod_3,188.96,82.74
Kamod_4,225.165,84.705
Kamod_5,196.215,84.19
Kamod_6,202.915,156.06
Kamod_7,203.88,92.33
Kamod_8,272.18,207.79
Kamod_9,265.94500000000005,97.8
Kaunsi Kanada_1,193.33,147.23
Kaunsi Kanada_10,256.24,199.99
Kaunsi Kanada_2,191.69,137.85
Kaunsi Kanada_3,265.765,83.27
Kaunsi Kanada_4,320.28499999999997,141.87
Kaunsi Kanada_5,345.09,83.11
Kaunsi Kanada_6,246.86,104.58
Kaunsi Kanada_7,276.71,233.03
Kaunsi Kanada_8,251.55,189.87
Kaunsi Kanada_9,179.82,138.77
Kaushik Dhwani_1,197.3,103.51
Kaushik Dhwani_10,176.16,139.17
Kaushik Dhwani_2,233.9,93.15
Kaushik Dhwani_3,309.74,156.06
Kaushik Dhwani_4,247.54500000000002,147.37
Kaushik Dhwani_5,185.36,92.74
Kaushik Dhwani_6,327.19,100.97
Kaushik Dhwani_7,262.48,100.48
Kaushik Dhwani_8,311.17,98.98
Kaushik Dhwani_9,182.85,126.04
Kedar_1,217.03,145.96
Kedar_10,180.64499999999998,92.99
Kedar_2,216.92,85.24
Kedar_3,202.73,104.2
Kedar_4,182.79,138.46
Kedar_5,228.33,104.5
Kedar_6,204.885,103.74
Kedar_7,207.835,104.26
Kedar_8,188.9,93.19
Kedar_9,196.22,147.38
Khamaj_1,200.2,112.52
Khamaj_10,168.85000000000002,139.08
Khamaj_2,192.91,93.4
Khamaj_3,171.86,131.42
Khamaj_4,211.36,93.11
Khamaj_5,196.04,91.36
Khamaj_6,226.555,139.62
Khamaj_7,176.52,104.67
Khamaj_8,207.115,104.33
Khamaj_9,231.77,104.2
Khambhavati_1,211.4,104.85
Khambhavati_2,203.88,78.58
Khambhavati_3,266.5,235.69
Khambhavati_4,398.52,101.64
Khambhavati_5,309.43,101.42
Khambhavati_6,204.58,156.06
Khambhavati_7,216.02,91.0
Khambhavati_8,311.81,117.11
Kirwani_1,232.83,348.205
Kirwani_10,330.32,88.01
Kirwani_2,369.08,123.93
Kirwani_3,174.97,144.96
Kirwani_4,210.22,139.01
Kirwani_5,162.13,114.98
Kirwani_6,347.97,117.18
Kirwani_7,235.13,147.41
Kirwani_8,240.87,175.0
Kirwani_9,215.94,106.53
Lalit_1,182.86,84.02
Lalit_10,175.0,141.82
Lalit_2,314.85,93.31
Lalit_3,310.64,90.15
Lalit_4,264.345,173.64
Lalit_5,180.36,178.38
Lalit_6,175.01,94.76
Lalit_7,178.71,113.57499999999999
Lalit_8,156.74,156.06
Lalit_9,156.06,156.06
Lanka Dahan Sarang_1,241.87,107.66
Lanka Dahan Sarang_2,242.08,106.54
Lanka Dahan Sarang_3,199.05,92.035
Lanka Dahan Sarang_4,178.38,156.06
Lanka Dahan Sarang_5,174.75,271.5
Lanka Dahan Sarang_6,368.55,83.11
Lanka Dahan Sarang_7,272.84,267.75
Lanka Dahan Sarang_8,254.66,382.88
Lanka Dahan Sarang_9,381.59,83.33
Madhukauns_1,319.96,94.7
Madhukauns_10,204.02,292.97
Madhukauns_2,147.38,147.44
Madhukauns_3,347.96,233.04
Madhukauns_4,328.61,232.8
Madhukauns_5,217.74,78.95
Madhukauns_6,200.0,140.155
Madhukauns_7,237.47,237.26
Madhukauns_8,315.78,110.58
Madhukauns_9,256.91,223.98
Madhumand Sarang_1,353.72,93.94
Madhumand Sarang_10,233.2,218.91
Madhumand Sarang_2,167.69,104.48
Madhumand Sarang_3,238.38,93.13
Madhumand Sarang_4,171.25,147.38
Madhumand Sarang_5,233.1,104.51
Madhumand Sarang_6,266.88,118.79
Madhumand Sarang_7,188.71,83.34
Madhumand Sarang_8,228.61,115.09
Madhumand Sarang_9,316.53499999999997,278.6
Madhuvanti_1,140.89,105.01
Madhuvanti_10,321.45,92.68
Madhuvanti_2,246.82,110.67
Madhuvanti_3,187.81,78.59
Madhuvanti_4,141.275,104.78
Madhuvanti_5,139.86,105.33
Madhuvanti_6,141.44,139.6
Madhuvanti_7,300.05,102.38499999999999
Madhuvanti_8,220.14,233.03
Madhuvanti_9,271.58,94.87
Malgunji_1,314.68,95.87
Malgunji_2,256.38,104.5
Malgunji_3,276.72,84.48
Malgunji_4,194.44,147.37
Malgunji_5,198.805,150.09
Malgunji_6,361.93,242.08
Malgunji_7,304.81,232.81
Malgunji_8,159.27,101.01
Malgunji_9,207.68,88.01
Malkauns_1,320.87,389.63
Malkauns_10,140.085,139.27
Malkauns_2,278.865,185.32
Malkauns_3,266.43,149.16
Malkauns_4,142.615,156.0
Malkauns_5,157.48,156.09
Malkauns_6,141.84,93.42
Malkauns_7,171.495,93.05
Malkauns_8,224.43,110.94
Malkauns_9,147.26,292.96
Mand_1,209.42,139.22
Mand_2,550.21,94.64500000000001
Mand_3,413.21,88.33
Mand_4,327.675,145.425
Mand_5,445.115,110.86
Mand_6,412.51,130.89499999999998
Mand_7,357.01,72.79
Mand_8,261.51,196.22
Mand_9,412.88,99.06
Manj Khamaj_1,347.97,98.32
Manj Khamaj_10,252.02,142.05
Manj Khamaj_2,219.44,83.23
Manj Khamaj_3,196.43,98.65
Manj Khamaj_4,171.72,88.02
Manj Khamaj_5,370.2,98.7
Manj Khamaj_6,321.63,211.62
Manj Khamaj_7,293.1,292.49
